driverId,best_race_lap_ms,best_qualifying_ms,diff_ms
1,66719,103526.0,-36807.0
1,66719,66228.0,491.0
1,66719,89243.0,-22524.0
1,66719,80108.0,-13389.0
1,66719,74470.0,-7751.0
1,66719,110033.0,-43314.0
1,66719,81135.0,-14416.0
1,66719,103288.0,-36569.0
1,66719,92850.0,-26131.0
1,66719,90660.0,-23941.0
1,66719,94999.0,-28280.0
1,66719,78704.0,-11985.0
1,66719,70736.0,-4017.0
1,66719,98755.0,-32036.0
1,66719,82188.0,-15469.0
1,66719,91678.0,-24959.0
1,66719,88792.0,-22073.0
1,66719,93760.0,-27041.0
1,66719,79149.0,-12430.0
1,66719,73640.0,-6921.0
1,66719,71459.0,-4740.0
1,66719,100593.0,-33874.0
1,66719,64424.0,2295.0
1,66719,86600.0,-19881.0
1,66719,76693.0,-9974.0
1,66719,102553.0,-35834.0
1,66719,94660.0,-27941.0
1,66719,100126.0,-33407.0
1,66719,90076.0,-23357.0
1,66719,87319.0,-20600.0
1,66719,93108.0,-26389.0
1,66719,76934.0,-10215.0
1,66719,,
1,66719,96403.0,-29684.0
1,66719,81164.0,-14445.0
1,66719,88220.0,-21501.0
1,66719,91675.0,-24956.0
1,66719,101677.0,-34958.0
1,66719,76173.0,-9454.0
1,66719,71232.0,-4513.0
1,66719,70996.0,-4277.0
1,66719,90029.0,-23310.0
1,66719,63149.0,3570.0
1,66719,85892.0,-19173.0
1,66719,73012.0,-6293.0
1,66719,77419.0,-10700.0
1,66719,101553.0,-34834.0
1,66719,79294.0,-12575.0
1,66719,96015.0,-29296.0
1,66719,91532.0,-24813.0
1,66719,87760.0,-21041.0
1,66719,92237.0,-25518.0
1,66719,74894.0,-8175.0
1,66719,67281.0,-562.0
1,66719,94794.0,-28075.0
1,66719,80486.0,-13767.0
1,66719,88190.0,-21471.0
1,66719,91570.0,-24851.0
1,66719,100554.0,-33835.0
1,66719,76038.0,-9319.0
1,66719,70166.0,-3447.0
1,66719,70446.0,-3727.0
1,66719,88319.0,-21600.0
